feature	weight
AKT3	0.0601413738248294
RABGAP1L	0
FAM129A	0
RGS1	0
BTG2	0.089751748173125
LBR	0
TAGLN2	0
LMNA	0.0258651368323351
S100A4	0
S100A6	0
S100A11	-0.0590262309941703
S100A10	-0.133563518667856
ANP32E	0
TXNIP	0
RBM8A	0
PTPN22	0
RHOC	0
CDC14A	0
TGFBR3	0
LRRC8C	0
LOC694538	0
PDE4B	0
JUN	0
PRDX1	0
IFI6	-0.248024474024229
CD52	0
SH3BGRL3	-0.179338189679432
SRM	-0.141203455925462
ENO1	0
RERE	0.0592666377951864
PARK7	0
ISG15	-0.188640594917166
CMC1	0
SATB1	0
TBC1D5	0
SH3BP5	-0.155350215132837
STAG1	0
TIPARP	0
SKIL	0
TNIK	0
CSRNP1	0
ARF4	0
FOXP1	0
LOC705671	0
BHLHE40	0
TIGIT	0
CD96	0
CBLB	0
NFKBIZ	0.0239142931445836
CLDND1	0
ITGB2	0.0436403532301163
ETS2	0
RUNX1	0
MRPS6	0
ACTB	0
SEC61G	0
MYO1G	0
COA1	0
LOC705095	0
ELMO1	0
CYCS	0
RPA3	0
COG5	0
SND1	0
ESYT2	0
TAGAP	0
FYN	0
AHI1	0
TNFAIP3	0
HIVEP2	0
UTRN	0
EZR	0
ASCC3	0
BACH2	0.121429128888154
HSP90AB1	0
ZFAND3	0
MAMU-DPB	-0.213072361436401
LTB	0.0698023561076062
LOC696872	0.0124015444356242
LOC696005	0
ATXN1	0
CD83	0
HIVEP1	0
SERPINB9	0
RBPJ	0
ARAP2	0
ATP8A1	0.0212374675230328
PLAC8	0
ANTXR2	0
CNOT6L	0
HOPX	0
AFF1	0.0288439166367984
HERC6	0
GPRIN3	0.120605632890252
H2AFZ	0
PPP3CA	0
NFKB1	0
CAMK2D	0
INPP4B	0.0140439644020818
LRBA	0
HMGB2	0
IL7R	0
PTGER4	0
PARP8	0
GZMK	0.00895349369879602
GZMA	0
PDE4D	0
IQGAP2	0
GLRX	-0.0611729215414041
ELL2	0
CAMK4	0
RAPGEF6	0.0208122088536436
FNIP1	0
IRF1	0
TCF7	0
HSPA9	0
ARHGAP26	0
CD74	0
DUSP1	0
SQSTM1	0
HYPK	0
TCF12	0
ANXA2	0
RORA	0
HERC1	0
DENND4A	0.0839211057647769
PKM	0
SCAPER	0
BCL2A1	0
ISG20	-0.0241301551525637
PSME2	0
GZMH	0
GZMB	-0.0969228151055468
NFKBIA	0
GNG2	0
LGALS3	0
PRKCH	0
SYNE2	0
ZFP36L1	0
FOS	0
BATF	0
GPR65	0
FOXN3	0
SERPINA1	0
HSP90AA1	0
CRIP1	0
TOX	0
NCOA2	0
PAG1	0.00923242318261628
VPS13B	0
TRPS1	0.0431303589832305
FAM107B	0
VIM	0
DNAJC1	0
MPP7	0
MAP3K8	0
ZEB1	0.0661614468612224
ITGB1	0
CREM	0
DDIT4	0.064139473484699
SPOCK2	0
VSIR	0
PRF1	0
DDX21	0
JMJD1C	0.0348987487123699
ARID5B	0
PGAM1	0
FUOM	0
TSPO	0
APOBEC3H	-0.139318952009723
APOBEC3C	-0.0555480567141785
IL2RB	0
APOL2	-0.17150675174805
CST7	0
SAMHD1	0
RBM38	-0.0487153616556704
LOC694289	-0.0699270739179971
CCND2	0
GAPDH	-0.227079624427746
PTMS	-0.00172117896406949
TPI1	0
KLRD1	-0.0498228467681911
GABARAPL1	0
CD69	0.0780349093256912
KLRB1	0.0261147388912203
SLC2A3	0
ITPR2	0
CCDC91	0
SLC38A1	0.00252590963267811
TUBA1B	0
TUBA1A	0
DIP2B	0.0371979864349406
DDIT3	0
OSBPL8	0
CHST11	0
C11H12orf75	0
PPP1CC	0
TESC	0
BICDL1	0
DYNLL1	0
ORAI1	-0.048021359320738
RILPL2	0
RAN	0
MGAT5	0
CXCR4	0
ARHGAP15	0
ZEB2	-0.0761290838294036
NR4A2	0.157003555297117
ITGA4	0
STAT1	0
STAT4	0
ANKRD44	0
HSPD1	0
HSPE1	0
CFLAR	0
ICOS	0
TUBA4A	0
DOCK10	0
INPP5D	0
ARL4C	0
DUSP2	0.0251432260497926
TMEM131	0
INPP4A	0
LIMS1	0
CD8B	-0.0950810491396479
CD8A	0
GNLY	-0.0970290999055469
CAPG	0
TMSB10	0
EXOC6B	0
PELI1	0.0835072218638056
REL	0.0805565201396671
ZFP36L2	0.0707532753108201
SOS1	0
SRSF7	0
BABAM2	-0.017065712008664
ODC1	-0.0274581977617336
HPCAL1	0
ID2	0.00776483345899287
CDK2AP2	-0.0589508416595476
PTPRCAP	0
CTSW	0
PLAAT4	0
SLC3A2	0
AHNAK	0
FTH1	-0.0989698216717112
CD5	0
PTPRJ	0
CD82	0
LDHA	0
NUCB2	0
PDE3B	0
UCP2	0
SYTL2	0
PICALM	0
TAF1D	0
MAML2	0.0558555419604518
BIRC3	0
SIK3	0
HSPA8	0
TUBB4B	0
HSPA5	0.0630852064439948
TXN	0
SEC61B	0
ZCCHC7	0
DNAJA1	0
MLLT3	0
LOC712661	0
CEMIP2	0.0931221520206798
ANXA1	0
PFN1	0
C1QBP	0
EIF5A	-0.00238916205368631
EIF4A1	0
KDM6B	0
PIK3R5	0
MAP2K3	0
SSH2	0.0339167678959173
CPD	0
CCL4L1	-0.0402115337990183
COPRS	0
CCL5	-0.0731301884787669
LOC100430627	0
LOC100426632	-0.0322030694029905
SPAG9	0
TOB1	0
PHB	0
CISD3	0
CCR7	0
STAT5B	0
PECAM1	0
RGS9	0
PITPNC1	0
USP36	0
RNF213	0
ACTG1	0
CD7	0.0823312172284004
HSPH1	0
RGCC	0.0835520798544855
EPSTI1	0
KLF12	0
GPR183	0.183268651191357
BCL2	0
PMAIP1	0
TTC39C	0
ANKRD12	0
GZMM	0
CNN2	0
GADD45B	0
S1PR4	0
JUNB	0
IER2	0
ADGRE5	0.0994388868563714
KLF2	0
BST2	0
TYROBP	0.0567926500402159
ZFP36	0.036351235000329
SERTAD1	0
TGFB1	-0.102967859190333
FOSB	0.0730659826231989
PPP1R15A	0
FTL	0
FLT3LG	0
PRMT1	0
NKG7	0
MYADM	0
PRKCB	0
IL4R	0
MT2A	-0.38239514829211
MT1E	-0.30336227634365
MT1M	-0.314176656571244
MT1X	-0.142716399766386
COTL1	0
APRT	0
LY6E-1	0
SAT1	0
RBM3	0
TSPYL2	0
PGK1	0
ITM2A	0
TSC22D3	0.0391669452890146
SLC25A5	0
DDX3Y	0.0728038249025099
