feature,weight
AKT3,0.0282087659823214
RABGAP1L,0
FAM129A,0
RGS1,0.0174763620124495
BTG2,0
LBR,0
TAGLN2,0
LMNA,0
S100A4,-0.103986811512715
S100A6,0
S100A11,0
S100A10,-0.0205288688171832
ANP32E,-0.00275418202655285
TXNIP,0
RBM8A,0
PTPN22,-0.0756934774331625
RHOC,-0.00497392856054385
CDC14A,0.102041510721881
TGFBR3,-0.113887762941557
LRRC8C,-0.068559300844261
LOC694538,0
PDE4B,-0.0260571760400953
JUN,0.0660653766064759
PRDX1,0
IFI6,0
CD52,-0.0342610639681537
SH3BGRL3,0.0408241163930021
SRM,-0.0596832584327387
ENO1,0.00825552853997439
RERE,0
PARK7,0.0407242503453895
ISG15,0
CMC1,0
SATB1,-0.0380235085847201
TBC1D5,0
SH3BP5,-0.129258195372347
STAG1,-0.071351084754096
TIPARP,-0.0307205079105412
SKIL,0
TNIK,-0.0366807779567574
CSRNP1,0
ARF4,-0.0579893429465035
FOXP1,0
LOC705671,0
BHLHE40,-0.0955552855316986
TIGIT,0.0929536744636335
CD96,-0.0370728290718912
CBLB,-0.0323645250042105
NFKBIZ,0
CLDND1,0
ITGB2,-0.0635650197100132
ETS2,0
RUNX1,-0.0292900334318157
MRPS6,0.00797469668087943
ACTB,0
SEC61G,-0.0236162187259409
MYO1G,0
COA1,0
LOC705095,-0.0403655967904863
ELMO1,-0.0627807813868826
CYCS,0
RPA3,0.0429216364938045
COG5,-0.0268926099150247
SND1,-0.0594290700863715
ESYT2,0
TAGAP,0.0899926630992816
FYN,-0.118014790811467
AHI1,-0.0995886629500529
TNFAIP3,0
HIVEP2,-0.0216319041206727
UTRN,-0.00913608158210475
EZR,-0.0501868811666269
ASCC3,-0.0662264611908422
BACH2,-0.105316097385165
HSP90AB1,-0.0321950938166184
ZFAND3,-0.0532455499756925
MAMU-DPB,-0.0790414113155552
LTB,0.173217758035712
LOC696872,-0.0179868999091139
LOC696005,0
ATXN1,-0.124077349613841
CD83,0.0286420866606026
HIVEP1,-0.0885006593145248
SERPINB9,-0.044341512550976
RBPJ,0
ARAP2,-0.113839411621993
ATP8A1,0.0533198904687594
PLAC8,0.0294467059371752
ANTXR2,0
CNOT6L,-0.0266791271608102
HOPX,-0.0335305895810794
AFF1,-0.0200806864599434
HERC6,0
GPRIN3,0.0418074969531854
H2AFZ,0
PPP3CA,-0.034355205958042
NFKB1,-0.150829681070481
CAMK2D,0
INPP4B,-0.0122799167069694
LRBA,-0.0874665894771148
HMGB2,0
IL7R,0.0155653664862556
PTGER4,0
PARP8,-0.0722085678735557
GZMK,-0.0167791580988551
GZMA,-0.0464765475784074
PDE4D,0
IQGAP2,0
GLRX,0.0362312073439297
ELL2,-0.0180315081643353
CAMK4,-0.00908598110459044
RAPGEF6,0
FNIP1,-0.0482355081717395
IRF1,0.0298313389493101
TCF7,0.158329017504917
HSPA9,-0.0944605062041489
ARHGAP26,-0.0531022767090257
CD74,-0.0534186115505648
DUSP1,0.0866102886988269
SQSTM1,0
HYPK,0
TCF12,-0.0506882362169219
ANXA2,0
RORA,-0.0134960180433038
HERC1,-0.0346674996725874
DENND4A,0.04757497503187
PKM,-0.0218945819797021
SCAPER,-0.00577396187283132
BCL2A1,0.000553877717323594
ISG20,0.0146716601459985
PSME2,0.00759264439841571
GZMH,-0.0829642014899019
GZMB,0
NFKBIA,0
GNG2,-0.0687073362438003
LGALS3,0.01035290130287
PRKCH,-0.146085330995297
SYNE2,0.0423929859572367
ZFP36L1,0.0142725986212465
FOS,0.0975948658367685
BATF,0
GPR65,0
FOXN3,-0.0241942160121067
SERPINA1,-0.0237582495316173
HSP90AA1,-6.96005464312661e-05
CRIP1,0
TOX,-0.0175119296083856
NCOA2,-0.0071237891340042
PAG1,0
VPS13B,-0.0335544468985283
TRPS1,-0.0392903795938287
FAM107B,-0.132469863472789
VIM,0.0960268036646426
DNAJC1,-0.045592940800039
MPP7,0
MAP3K8,-0.00725595667247647
ZEB1,0.0814428390234891
ITGB1,0
CREM,0
DDIT4,-0.0102608457350672
SPOCK2,0.0865555838438171
VSIR,0
PRF1,0
DDX21,-0.0683157414663003
JMJD1C,-0.0175804314268872
ARID5B,0
PGAM1,0.0903183721141793
FUOM,0.149871403705073
TSPO,0.00527052255258604
APOBEC3H,-0.0671399025026876
APOBEC3C,-0.0408859117661437
IL2RB,-0.0251081825547458
APOL2,0
CST7,-0.0943915688557714
SAMHD1,0
RBM38,0
LOC694289,-0.0283958738128982
CCND2,0
GAPDH,0
PTMS,0.0200645143460716
TPI1,0.0463937570202224
KLRD1,0
GABARAPL1,0
CD69,-0.0191200198252144
KLRB1,-0.0227557298836431
SLC2A3,0
ITPR2,0
CCDC91,0
SLC38A1,-0.058450000965434
TUBA1B,-0.0342206882505325
TUBA1A,0.0100467996307778
DIP2B,-0.0412787684207384
DDIT3,-0.0131773488284232
OSBPL8,-0.0670647569966391
CHST11,-0.116589176463236
C11H12orf75,-0.0609031479518079
PPP1CC,0.00204848498396495
TESC,-0.0760396420199544
BICDL1,0
DYNLL1,0
ORAI1,-0.127624832615027
RILPL2,-0.0339378933348007
RAN,0
MGAT5,-0.034322528495914
CXCR4,-0.0395314415723428
ARHGAP15,0
ZEB2,-0.0427544882092217
NR4A2,-0.0232995010645423
ITGA4,-0.0933435485667425
STAT1,0.00449895048007773
STAT4,-0.0416078410004064
ANKRD44,0
HSPD1,-0.0459341894493648
HSPE1,0.0222918399353725
CFLAR,0.0185185493688983
ICOS,-0.00440888684338877
TUBA4A,0
DOCK10,0
INPP5D,-0.0578992104860598
ARL4C,0
