feature	weight
SMYD3	0
KIF26B	0
LOC114678654	0
COX20	0
AKT3	0
EXO1	0
LOC106995194	0
CHRM3	0
RYR2	0
MTR	0
ACTN2	0
LOC114678863	0
SLC35F3	0
KCNK1	0
PCNX2	0
SIPA1L2	0
PGBD5	0
LOC114678951	0
RGS4	0
NUF2	0
LOC114678983	0
LOC114678999	0
POU2F1	0
LOC100423131	0
XCL1	0
F5	0
SELP	0
SELL	0
LOC106994853	0
DNM3	0
FASLG	0
LOC114679250	0
TNFSF4	0
RABGAP1L	0
RALGPS2	0
FAM163A	0
IER5	0
CACNA1E	0
RGS16	0
LAMC2	0
RGL1	0
COLGALT2	0
C1H1orf21	0
FAM129A	0
LOC114674887	0
PTGS2	0
PLA2G4A	0
RGS18	0
LOC114679561	0
RGS1	0
RGS13	0
RGS2	0
LOC712126	0
ASPM	0
DENND1B	0
LOC114679643	0
LOC106994171	0
CAMSAP2	0
GPR25	0
LAD1	0
PPP1R12B	0
CHIT1	0
BTG2	0
FMOD	0
KLHDC8A	0
RHEX	0
SRGAP2	0
IL10	0
FCAMR	0
LOC106993769	0
CR2	0
CR1	0
LOC106995978	0
G0S2	0
HSD11B1	0
SYT14	0
LOC114674771	0
SLC30A1	-0.0666233931744748
NEK2	0
DTL	0
ATF3	0
BATF3	0
CENPF	0
ESRRG	0
LOC114677743	0
LOC100426640	0
EPRS	0
LOC106993368	0
DISP1	0
LBR	0
ENAH	0
EPHX1	0
LOC699924	0
ITPKB	0
WNT9A	0
LOC114669950	0
DDR2	-0.0146147557838317
NOS1AP	0
FCGR3	0
FCGR2A	0
APOA2	0
FCER1G	0
F11R	0
ITLN1	0
SLAMF7	0
SLAMF1	0
SLAMF6	0
TAGLN2	0
FCRL6	0
FCER1A	0
LOC709286	0
LRRC71	0
NTRK1	0
INSRR	0
LOC114670332	0
TTC24	0
C1H1orf61	0
SEMA4A	0
LMNA	0
MIR92B	0
MUC1	0
CKS1B	0
TDRD10	0
IL6R	0
S100A1	0
S100A13	0
S100A4	0
S100A5	0
S100A6	0
HRNR	0
S100A11	-0.0408427062240198
S100A10	-0.0121941001220537
RORC	0
CELF3	0
LOC114670750	0
ANP32E	0
TRNAG-CCC	0
TRNAQ-CUG	0
LOC114670865	0
LOC114674648	0
LOC114670868	0
LOC114674690	0
GJA5	0
LOC114674674	0
TRNAK-CUU	0
TXNIP	-0.0323668017286414
RBM8A	0
CD160	0
LOC114674651	0
LOC114677569	0
PHGDH	0
WARS2	0
SPAG17	0
CD101	0
LOC107000398	0
CASQ2	0
NGF	0
TSPAN2	0
PTPN22	0
MAGI3	0
RHOC	0
ADORA3	0
CHI3L2	0
DENND2D	0
CSF1	0
PSRC1	0
SARS	0
FAM102B	0
VAV3	0
NTNG1	0
COL11A1	0
OLFM3	0
CDC14A	0
PALMD	0
DPYD	0
F3	0
FNBP1L	0
DIPK1A	0
TGFBR3	0
HFM1	0
BARHL2	0
LRRC8D	0
LRRC8C	0
LOC695158	0
LOC694684	0
LOC694538	0
LOC114671728	0
HS2ST1	0
WDR63	0
MCOLN2	0
TTLL7	0
IFI44	0
IFI44L	0
LOC106999326	0
GIPC2	0
ST6GALNAC5	0
ST6GALNAC3	0
MSH4	0
SLC44A5	0
PTGER3	0
CTH	0
GADD45A	0
IL12RB2	0
IL23R	0
SLC35D1	0
SGIP1	0
PDE4B	0
DNAJC6	0
AK4	0
CACHD1	0
ROR1	0
USP1	0
L1TD1	0
PATJ	0
NFIA	0
LOC100424766	0
JUN	0
DAB1	0
LOC114674756	0
SHISAL2A	0
FAF1	0
NASP	0
PRDX1	0
ZSWIM5	0
KIF2C	0
LOC114674763	0
LOC114674770	0
LOC106998245	0
ST3GAL3	0
CDC20	0
EBNA1BP2	0
LOC114672765	0
GUCA2B	0
HIVEP3	0
SCMH1	0
MFSD2A	0
CDCA8	0
ZC3H12A	0
GRIK3	0
CSF3R	0
CLSPN	0
LOC106997660	0
LOC106997577	0
MARCKSL1	0
SPOCD1	0
ADGRB2	0
TINAGL1	0
FABP3	0
RPA2	0
IFI6	-0.0713742266285134
ZNF683	0
CD52	0
SH3BGRL3	-0.0391820000733919
ZNF593	0
STMN1	0
CLIC4	0
