feature	weight
BTG2	0.011136889373357634
IFI6	-0.29635523500805916
ISG15	-0.26515493160375575
LOC100427851	-0.16305167880065496
MX1	-0.006542830630888556
SEC61G	-0.03732722978216236
LOC708686	0.20403857140918724
TUBB	-0.02896830914348342
JARID2	0.030086006003835396
ATP8A1	0.02326095240367205
H2AFZ	-9.029945674173307e-4
GZMK	0.09758030674503282
DENND4A	0.02506803619873826
PAG1	0.004413227046723533
TRPS1	0.03286689638146636
JMJD1C	0.03343035328549301
APOL2	-0.15114856295063298
GAPDH	-0.08815583153698628
LOC107000845	-0.02975676604648577
DIP2B	0.03353865046452531
NR4A2	0.1491969662234707
REL	0.03606365348185962
LOC718777	-0.467867457518052
ZFP36L2	0.09563380491214446
CDK2AP2	-0.05340207194997875
PTPRCAP	0.0037746264638389435
CEMIP2	0.1032178998772963
SSH2	0.02679563537735146
RGCC	0.021180168029976812
GPR183	0.13588454864729385
ADGRE5	0.16241141995949754
TGFB1	-0.02804320321495005
FOSB	0.04377633095494966
MT2A	-0.39429809330451854
MT1E	-0.3493476574821888
MT1M	-0.32500196315751256
MT1X	-0.1568968881127689
KDM6A	0.04587345615154059
TSC22D3	0.032999635206144254
DDX3Y	0.004316247561482798
