feature	weight
PRF1	0.8439049422002245
GZMB	0.21584327644262036
NKG7	0.19433655327336236
GZMH	0.1772728666955189
S100A4	0.15607397125623976
GNLY	0.1468395586642939
AHNAK	0.1455976840452857
CX3CR1	0.13610090201555267
CCL5	0.11297173898485671
HOPX	0.09062235796238145
TGFBR3	0.08437773495380536
ZEB2	0.08240001544443015
S100A10	0.07757971252372507
KLRD1	0.07496294263534282
FLNA	0.06557960377959973
BHLHE40	0.06141759861108614
ANXA1	0.060958664208117935
RAP1GAP2	0.045064072572142316
KLRF1	0.04426860722801475
S100A11	0.04174650589104494
C11H12orf75	0.03915348101729652
LOC705095	0.03788198128423932
LOC106993196	0.03522135368203187
FGFBP2	0.03435653311363559
SERPINA1	0.030104057295407556
LOC100426632	0.029580902487880284
HEG1	0.028002645401882065
TSPAN2	0.027790998709113574
GPR141	0.0242153097226689
CCL4L1	0.021660788063855442
KLRG1	0.021167624601399933
DOCK5	0.016899254308720777
LOC100430627	0.01457305518463884
PLEK	0.012105130936914715
CMA1	0.010832905885463241
FCGR3	0.009919835400631632
ANXA2	0.009507826215760221
LOC106993126	0.009449217114877286
PRSS57	0.00781876033250841
AFAP1L2	0.001061546221630069
ID2	2.2183577704579338e-4
RFLNB	-0.004629315294396338
SFRP5	-0.01212196980501094
SPOCK2	-0.012369351735845113
CCR7	-0.013081977826338333
LEF1	-0.022054638074947737
TCF7	-0.02262280896991419
BACH2	-0.03722471062350535
LTB	-0.05854249751157103
CD7	-0.0687022463514472
