feature	weight
EEF1A1	0.319615
B2M	0.72871
TPT1	0.363769
UBA52	0.41879
MAMU-A	0.268541
FAU	0.464466
TMSB4X	0.27136
ACTB	0.0736447
MAMU-E	0.386212
RACK1	0.247854
NACA	0.227295
FTH1	-0.0985822
EIF1	0.454954
GAPDH	0.342177
TMSB10	0.0681862
EIF3K	0.220255
FTL	0.294024
PFDN5	0.255613
PNRC1	0.374593
COX4I1	0.207447
EEF1B2	0.112332
PTMA	0.0588161
CD48	0.161188
EEF1G	0.11165
EEF2	0.156148
UBC	0.269232
CD7	0.158843
EEF1D	0.218797
PTPRC	0.157216
ZFP36	0.221938
ITM2B	0.173075
NME2	0.119646
BTF3	0.0801178
NPM1	0.11332
PPIA	0.000102845
CD3E	0.0308182
SRGN	0.0636617
PABPC1	0.022104
FXYD5	0.106293
SH3BGRL3	-0.0368129
MAMU-A3	0.0712769
NFKBIA	0.21302
CCL5	0.296382
HNRNPA1	-0.0322063
ATP5MC2	0.251872
HINT1	0.098415
IFI6	0.565682
TOMM7	0.250347
SERF2	0.112611
PTPRCAP	0.0268534
PFN1	-0.0605717
VIM	1.4966e-05
CALM1	0.0736996
LAPTM5	0.135352
ATP5F1E	0.169385
CD3D	0.118611
ACTG1	-0.0455252
HSP90AB1	0.170441
OAZ1	0.116401
GMFG	0.0394977
LTB	-0.121718
FOS	-0.0626528
ALDOA	0.257203
GPX4	-0.0208814
GNLY	0.208935
EIF3G	0.202314
ARHGDIB	-0.0545216
ENO1	0.269408
DDX5	-0.018948
HSPA8	0.11161
STK17A	0.192842
IL7R	-0.248817
CFL1	-0.048702
HNRNPDL	0.0653681
PSME1	0.128382
CD69	0.0758381
LIMD2	-0.0615442
HNRNPA2B1	0.00243114
JUNB	-0.00148149
PCBP1	0.241844
BTG1	0.0937733
SMDT1	0.045617
MIF	0.264571
JUN	0.192586
GZMB	0.391177
GIMAP7	-0.0305667
EIF3F	0.0678843
CD52	-0.0665092
HSP90AA1	0.0804287
KLF6	0.115686
PPIB	-0.0797533
CDC42	0.0164719
CORO1A	-0.0284728
SARAF	0.13717
S100A10	0.090939
NKG7	0.16832
CD74	0.206457
GSTP1	-0.0930621
HSPA5	0.121923
FUOM	0.0460747
SELENOW	-0.0557165
ARPC1B	-0.0312879
KRTCAP2	0.107245
ATP5F1D	0.0455018
EMP3	0.000205199
CHCHD2	0.0891943
RHOA	0.0555994
DAZAP2	0.000554515
MYL6	-0.0375426
CNBP	0.0822554
ATP6V1G1	-0.0272349
YBX1	-0.00103826
GABARAP	-0.00133345
EIF3H	0.0720199
TSC22D3	9.24594e-05
ATP5PO	-0.0450834
ATP5MG	0.0368452
CD8B	0.0693732
SRSF11	-0.0148672
MBNL1	0.132495
ARPC2	-0.0509761
LAT	-0.154578
ELOB	0.0721068
TPI1	0.255428
NCL	9.59225e-05
SUMO2	-0.0207469
CIRBP	-0.0303077
SRP14	-0.0296909
TMEM123	-0.0225341
MAMU-AG	0.505111
SRSF5	0.0259642
UBB	0.0624307
ANKRD12	0.0887771
SEPTIN1	-0.0118226
SSR2	-0.0570562
PSMB8	0.184665
PDIA3	0.000104955
GYPC	0.0372171
ATP5F1A	-0.0838108
FUS	0.0340318
IL2RG	0.106432
ABLIM1	-0.0344932
CST7	0.086425
KMT2E	0.121008
COMMD6	0.0321464
CCR7	-0.0595535
CCNI	-0.000109775
ATP6V0C	0.0708818
SSR4	-0.0274721
UQCRH	0.000174755
TXNIP	-0.0670339
YWHAZ	0.0261336
SHISA5	0.101798
EIF4B	0.0291523
S100A11	-0.175446
WDR83OS	-0.0218745
JAK1	0.000181826
ARPC3	-0.0583921
UBXN1	0.0140814
ARF1	0.0418424
CD37	0.0596868
PSMB9	0.218567
ZFP36L1	6.58854e-06
PCBP2	0.0600179
CAMK4	-0.129064
YWHAB	-0.0809987
SELL	-0.122845
SON	0.137937
UBE2D3	0.0313737
ARGLU1	-0.0132116
CA6	0.0585848
UBE2D2	-0.0544828
RAC2	-0.0503301
PNISR	-0.0133582
OST4	0.0940574
ARL6IP5	-0.0210355
EVL	0.0329941
LDHB	-0.0931437
PGK1	0.200936
TOMM6	-0.0271192
PSMA7	-0.0586635
IFI27L2	-0.0694334
DUSP1	-0.0436126
MYL12B	-0.0509597
CD3G	0.0286597
GPI	0.157516
EIF3E	-0.0388808
CD8A	0.00688867
CD44	0.025652
PRRC2C	0.0808999
TOMM20	0.110854
SPCS1	-0.000111189
SEPTIN7	0.0148277
SKAP1	-0.0682183
SEPTIN6	-0.0751286
ISG20	0.240568
CLEC2D	0.0677252
RNF213	0.280708
LDHA	0.240176
PECAM1	-0.0389229
RNASEK	0.0319431
PEBP1	-0.0501674
UCP2	-0.0936453
NSA2	-0.0568186
LCK	-0.016613
EZR	0.0422166
TRMT112	0.059583
PLD3	-0.0183827
TPM3	-0.0355512
HNRNPA0	-0.049845
IRF1	0.0880845
PLAAT4	0.0468499
SLC25A5	-0.0384239
CD247	0.0339903
RSL24D1	0.0366279
PPP1CC	-0.0636365
SF1	-0.0140597
STAT1	0.16925
NDUFA4	-0.0236996
LY6E-1	0.249432
CALR	-0.00115865
COX6C	0.000615325
PLAAT3	0.0635121
CIB1	-0.0300898
TMEM219	-0.0847103
PRR13	0.0293072
COX5A	-0.0808199
RBM39	0.0357814
EML4	0.0383484
LBH	-1.96968e-05
SF3B1	0.0153049
PKM	0.219946
RSRP1	0.000108799
PAK2	0.0431098
NOP53	-0.00124725
MSN	0.000109611
SPOCK2	-0.0340568
EIF3L	-0.104651
RABAC1	-0.0739732
JTB	-0.0599977
USP15	0.0537858
TMA7	0.0627043
KLF2	0.0217458
RIPOR2	-0.0522629
FYB1	-0.0225403
MYL12A	-0.0999292
CRIP1	0.0248272
SEPTIN9	-0.0527112
ID2	0.0990994
HNRNPK	-0.0196296
SCML4	0.0112791
HSP90B1	-0.0240068
SRSF10	0.000812166
IER2	0.0262721
NDFIP1	-0.0434972
BST2	0.138933
TLE5	-0.118831
UBL5	0.0364691
EPC1	-7.33708e-06
STK17B	-3.63471e-05
PA2G4	0.00323555
EIF3M	-0.0523429
BZW1	-0.0182393
ZFP36L2	0.0182748
PPP1R15A	0.103915
CD164	0.130437
LSP1	8.78641e-05
SLC25A3	0.0121803
DDX17	-0.0108406
TUBA1B	-0.0546754
SNRPD2	-0.0206463
DDX24	0.051346
RWDD1	0.0133755
CDC42SE2	-2.17472e-05
RBM3	-0.0869153
NAP1L1	-0.00755533
NDUFB8	-0.0215018
ANP32B	-0.0288847
GABARAPL2	-0.0405674
PRDX6	0.0359797
TENT5C	0.139109
SP100	0.232451
LCP1	0.0594311
CACYBP	-0.0127367
ATP5MPL	0.0245655
H2AFZ	-0.0300935
ITM2A	-0.0725448
MYH9	0.00759724
CAPZB	-0.115554
FIS1	-0.0872434
HNRNPUL1	-0.0274758
ACTR2	-0.0219573
SRSF7	0.0338109
MBP	-0.0523211
TMEM59	0.0238399
STAT3	0.121441
XRCC6	-0.0405284
SUB1	0.000352091
CCNL1	0.0181277
SSB	-7.61214e-06
RAP1B	0.0159428
MATR3	0.02297
ETS1	0.0484097
TGFB1	0.107576
SEC61B	-0.0482609
UQCR	-0.0323882
DNAJB1	0.035364
LSM14A	0.0551308
HCLS1	0.0335882
ATP5MF	6.89375e-05
SF3B2	-0.0274643
ROMO1	0.131683
TAGLN2	6.45118e-05
WIPF1	0.110481
SAP18	0.00488639
S1PR1	-0.0707843
SRRM1	0.0262561
TMBIM6	0.000397279
ETFB	-0.0728967
BSG	-0.0161926
CUTA	0.00194207
UBXN4	-0.0202243
DYNLRB1	-0.0448702
TUBB	-0.136324
DDX6	-0.0463844
HNRNPC	0.069661
FBL	-0.0156185
HCST	-0.0138183
TAF7	0.0214641
SLC2A3	0.205757
CDC37	-0.0206468
MPHOSPH8	0.0407927
PPP1CA	-0.143252
U2AF1	-3.7008e-05
NDUFA11	-0.061704
CNN2	-0.182784
IKZF1	-0.0237726
BRK1	-0.0538558
PPDPF	0.1332
SERP1	0.000220749
SERBP1	-0.0437338
ARHGDIA	-0.0396601
TCF7	-0.123367
SYTL3	0.191916
SSU72	-0.0494232
NSD3	0.048186
EIF4A2	0.0470868
BIN2	-0.0753327
MFNG	-0.0908014
PSIP1	-0.0619007
TMEM14B	-0.0720135
AHNAK	0.204731
BTG2	-0.0109112
PSMB1	-0.0289051
EID1	-0.0212502
P4HB	0.000247618
PTGES3	0.0466665
HNRNPF	-0.0199305
COTL1	-0.234431
RHOG	0.0184376
UBE2B	0.0324513
UQCRQ	-0.0215924
ITGA4	0.0461532
TMEM50A	0.0359138
GNB2	-0.0472883
COX8A	0.000138264
EDF1	-0.0420937
ARRB2	-0.0399607
NDUFB11	-0.0756083
SEMA4D	0.0307715
GZMK	-0.160779
G3BP2	0.000111786
SCAND1	-0.0709343
HNRNPA3	-0.0394335
NR3C1	0.0703791
GNG5	-0.0105566
PPP1R12A	0.0441261
FNBP1	0.0744496
ZC3HAV1	-0.0179466
RNMT	0.00492345
EPB41	-0.100637
HNRNPU	0.0547278
PRPF4B	-0.0221835
ATP5PB	-0.0371672
ARL6IP1	-0.000270719
CD46	-0.0568684
KRAS	-0.000112556
NAP1L4	-0.0104326
RPN1	-0.105101
DRAP1	0.036611
STK4	-0.0376037
SRPRA	0.00174697
SRRM2	0.0548997
MAF1	-0.084605
GPSM3	-0.133007
CSDE1	0.0416449
SEC62	0.0517094
MICOS10	-2.82437e-05
MCL1	1.61247e-05
CYTIP	0.0916399
SF3B5	-0.0192647
SNRPA1	0.0395413
DAD1	0.012589
NDUFB9	-0.0696132
ST13	-3.0161e-05
TLR9	-0.0520608
FNBP4	0.0234333
COPS9	0.028551
CD2	-0.00586436
PAIP2	-9.29674e-05
RGS10	-0.0476491
POLR2E	-8.65152e-05
IFI16	0.148714
MORF4L1	0.0732394
SH3KBP1	5.91885e-05
CCT3	-0.0213267
RAN	-0.0244737
EIF4A1	-0.0556801
TCEA1	0.0486512
ARID4B	6.52916e-05
AKAP13	0.0004772
CSNK2B	-0.037709
ARF5	-0.105671
PSME2	0.0181568
DEK	-0.00216338
PNRC2	0.034477
SQSTM1	0.116391
GIMAP5	-0.0759585
TAX1BP1	0.0216173
GADD45B	0.0946091
CALM2	-0.0306708
EIF5	0.0797654
ARHGEF1	-0.0894463
CCT6A	-0.0478878
TMBIM4	-0.0264663
BCLAF1	-5.32962e-06
ICAM2	-0.0128338
TAP1	0.100574
CHURC1	-0.0235391
RBM8A	0.042401
CXCR4	-0.01153
PPP4C	-0.037493
CD6	0.0309868
ALKBH7	-0.0169635
LSM4	-0.0396605
SNU13	-9.79638e-06
IGFLR1	-0.0394752
GPBP1	0.0638424
ATP6V0E1	-0.0330343
CD99	-0.0429324
LEF1	-0.0932596
GSTT1	-0.09164
SNRPN	-0.0311839
NDUFB4	0.000870759
NOL7	0.0327702
RSL1D1	-0.0519499
ARHGAP15	-0.0716267
ELF1	9.43486e-05
ARPC5	-0.099085
NOP10	-0.0197831
DDX46	-0.0322769
MPP7	-0.0315166
PPP1R2	0.000584709
PPP2CA	-0.0285898
SPSB3	-0.0865811
ATP5F1C	-0.0791505
SSH2	0.0261709
ARPC5L	0.0836822
PITPNC1	0.0439514
TMED9	0.000108387
CARD19	0.0156823
PCED1B	-0.0639339
TMEM147	-0.0534639
ITGA6	-0.0857112
SNRPB	-0.000768654
CYB5A	-0.120526
ATP6V1F	-0.021748
CD5	-0.0511572
BAX	-0.0458788
PSMB7	-0.0748966
MTDH	-0.0589921
ZNF706	-0.0579703
REXO2	-0.0404699
ZNF292	0.133004
IFI27	0.285818
IRF9	0.161935
DDX3X	0.0721486
APRT	-0.110316
TALDO1	-0.0598314
TNRC6B	0.0256659
CANX	1.42195e-06
G3BP1	-0.0367071
NDUFA2	-0.0379619
NDUFB2	-0.0391817
GZMM	-0.0957373
VPS28	-0.102539
NDUFV2	0.0468722
NCOR1	-1.59011e-05
MX1	0.389551
MTPN	0.0547847
MYCBP2	-0.0262572
FAM107B	-0.0105486
TMIGD2	0.0744286
SORL1	-0.0230471
ABRACL	-0.154809
REX1BD	-0.0659819
ERGIC3	-0.0362154
ACTR3	0.0257145
VDAC2	0.0372299
ATP5PF	-0.0482895
SMARCA5	0.0832796
SLC9A3R1	-0.0969702
SF3A2	-0.0384619
RBM25	0.000120121
TERF2IP	0.0495522
TMED10	0.0157157
RESF1	0.0295294
NUCKS1	-0.0441662
DNAJB6	0.026102
PLAC8	0.0928041
WSB1	-0.0137622
MAPRE2	0.0198691
CCND3	-0.0302544
EIF3I	-0.0134842
OSTF1	-0.0972132
TMEM243	-0.0537078
PRKCH	0.0344578
BNIP3L	0.159697
RASSF1	0.0119903
OS9	-0.026911
COX7B	0.0508628
AUP1	-0.0087915
BUD23	-0.0244416
TKT	-0.105175
EIF5A	2.54925e-05
ZNHIT1	-0.0222345
GIMAP6	-0.000421466
POLR1D	0.0308102
GDI2	-0.0307948
IL10RA	0.0797294
RNF149	0.0530256
TBCC	-0.0290111
DGKA	-0.083369
SMIM10L1	2.19981e-05
CTSH	-0.0244266
KDELR1	0.0269379
AIP	4.88707e-05
GZMH	0.385249
THYN1	0.0171093
WASF2	-5.53202e-05
TNFAIP3	-0.000255458
NEDD8	-0.111474
ISG15	0.373653
PSMA2	-0.000231681
BANF1	-0.0785794
ADAR	0.0946221
NIPBL	-1.09053e-05
SYTL2	0.0567192
SERPINA1	0.097894
NDUFB10	-0.0917131
DDOST	-0.0697001
TUFM	-0.0437541
PRPF40A	-0.0277601
ANKRD44	-0.0211946
THUMPD1	0.05023
CTSW	-0.0694581
TOB1	-0.0679054
ATG12	-0.0835811
AP2M1	-0.0502019
AFF4	-0.0190792
SKP1	-0.00549073
ARF4	0.0245589
KIF2A	-0.0591728
SCAF11	0.0455204
MAP1LC3B	7.99477e-05
FGFR1OP2	9.5491e-05
VAMP5	0.0312079
RBM17	-0.0247768
MPZL1	-0.0940182
TLK1	4.68697e-05
FKBP8	-0.0425051
CYC1	-0.060109
RGCC	-0.0219441
TMED2	-0.024986
DDT	-0.0198636
EIF4H	-6.5759e-05
RAD23A	-0.0303286
CCT8	-0.0235514
GPR183	-0.0385555
METTL9	-0.0512678
CCDC107	0.0398093
HNRNPH3	0.0421464
LAMP1	-0.0479926
POLR2L	0.0172991
CLDND1	-0.172287
NDUFA1	0.0581304
COPS6	-0.0318193
SPCS2	-0.0205031
FOXP1	-0.0139715
UBE2L6	0.0767676
SF3B6	-0.0183208
QARS	-0.0689537
TNIK	-0.0515284
ANP32A	-0.0319216
OCIAD1	-0.0348913
PGAM1	0.121367
CAP1	-0.000286955
SRSF3	-0.0301792
UBE2I	-0.096478
PHB2	-0.066335
PAPOLA	0.0232868
VAPA	0.0351823
FCMR	-0.169315
HSPE1	-0.0200966
PIK3R1	0.0302041
LSM7	-0.0693605
IK	0.000774128
ATF4	-2.87499e-05
WAS	-0.0494406
MRFAP1	0.0490758
PET100	0.0858535
PRDX5	-0.0808638
AHI1	-0.00209487
DCTN3	-4.03034e-05
CCL4L1	0.18955
VAMP2	0.0135198
GRB2	-6.52478e-05
TMEM160	-0.144341
RER1	-0.0464903
RBMX	-0.0541161
UFC1	-0.0525435
ATP5PD	-0.02662
PHF1	0.048941
CWC15	0.0299377
LAMTOR4	-0.0202142
ATP5ME	0.128601
NDUFA3	0.0810828
THRAP3	-2.14816e-05
CELF2	0.000424969
ILF3	-0.027162
PDE4D	0.0732762
NDUFA13	-0.0549269
RASSF5	-0.0497313
IQGAP1	0.0461069
RSF1	-1.30671e-05
SLC3A2	0.000148037
WBP2	-0.00896941
NAPA	0.0124132
NME4	-0.0643106
NR4A2	0.085994
BCCIP	-0.0555088
NME3	-0.0422542
GHITM	-0.000269669
EWSR1	-0.0370359
RAB14	0.0513083
NUDC	-0.0195031
TUBB4B	5.98291e-05
BAZ1A	0.0519618
ITK	6.61843e-06
ACAP2	-0.0595435
CBX3	-0.056352
TAF15	-0.00924519
RAC1	-0.0608189
EIF1B	-0.0200671
OXA1L	-0.0613996
MEA1	-0.0412863
MCUB	-0.151276
GOLGA4	-0.0115974
ATXN7L3B	-0.0458254
ISCU	-0.0204974
APH1A	-0.0601781
S100A4	0.0465262
ARHGAP45	-0.0850623
CD53	0.000238987
COPE	-0.0599523
BCAP31	-0.0520164
HP1BP3	-0.0215969
TAPBP	0.108325
CPNE1	-0.0479385
PTGER4	0.000256628
SEC61G	0.0470498
LNPEP	0.0577766
PSMA1	-0.0545391
SREK1	-0.0357597
CCNG1	-7.22156e-06
NDUFA7	-0.0252397
S100A6	-0.0594163
CRLF3	-0.0651832
SS18L2	-0.000316929
CSNK1A1	-9.52997e-05
GNG2	-0.0140613
NFKBIZ	-0.0295816
RAD21	-0.000230189
TNFAIP8	-0.0639056
TPR	5.508e-05
YWHAQ	-0.0840732
SPCS3	-0.00877904
GCC2	-0.00850581
RAB5A	-0.0124405
AKAP9	-0.0295684
NINJ1	0.000391205
ARL6IP4	-0.081401
PSMB6	-0.0308324
ATP2B4	0.057108
SDF4	-0.0261799
CASP12	0.0315351
RNASEH2C	-0.0302615
ATRX	-0.0328957
SATB1	-0.0889898
SLIRP	0.0931565
HSD17B11	-0.0160498
EIF3A	-0.036554
MYDGF	-0.0596692
LRP10	-0.0566208
U2SURP	-0.000210432
PDE3B	0.00969998
ROCK1	0.0351993
JMJD1C	0.0287202
MFSD14A	-0.0184244
LMAN2	-0.062742
RIOK3	0.105567
CHD2	0.0239606
CLTA	-0.0339991
CD84	-0.0340643
DDX39A	-0.0763841
PSMC5	-0.0491318
PSMD7	-0.0128636
TOMM22	-0.074435
CD47	-0.0314168
GPRIN3	-0.0376687
KIF5B	-0.0213641
SNX6	-0.0336107
NDUFS7	-0.0569941
SETX	0.0211454
NDUFC2	-0.0448948
PBXIP1	-0.0663925
MAMU-DPB	-0.101538
HIGD2A	-0.0525646
SNRK	0.0223268
PSMA6	-0.0444908
ACIN1	-0.0159704
NCBP2AS2	-0.0343163
TGFBR3	0.0424696
PNN	-0.000384489
RAB7A	-0.0621991
RBFA	-0.0740527
VAMP8	-0.109455
TMEM258	0.0822775
HNRNPM	-0.0341318
CAMLG	0.000322772
CDKN1B	-0.0276314
RPN2	-0.102333
RCSD1	-0.147502
GPCPD1	-0.00479592
EIF2S3	0.0256993
MAMU-F	0.0565328
ENSA	0.0163341
ECHS1	-0.0965567
ADRM1	-0.0280763
DUT	-0.0983633
OTUD5	0.066483
NOSIP	0.0135061
CMPK1	-0.0254126
CAST	0.0294947
TMEM14C	-0.0486363
PHF3	5.27437e-05
SYNE1	0.0632986
IMPDH2	0.0390639
IL16	-0.107995
PTPN1	0.0694221
ARPC4	-0.0617786
GADD45GIP1	-0.0447213
UBAC2	-0.058431
SRSF2	-0.088852
CDC42SE1	-0.0567304
FIP1L1	-0.0165921
PTPN2	0.0387254
EMD	-0.0109275
SMIM3	-3.83183e-06
ATP5IF1	-0.0732042
LBR	-0.0556502
TRIM22	0.136575
XRN2	-0.0179641
NCOA3	0.00122625
CMTM6	-7.50027e-06
PTBP3	0.0180591
RABGAP1L	-0.0454706
