feature	weight
LOC100423131	0.22257587507845564
LOC100426632	0.1741109507777594
LOC100423954	0.19454780742637703
LOC114673087	0.19886460401098355
CCL4L1	0.13983823091041053
XCL1	0.20148954609268988
LOC100430627	0.1651963771787332
LOC100426537	0.1767501823681919
CCL3	0.17036840201784775
MT1X	-0.03944390048682024
MT1A	-0.006848844136176726
MT1JP	-0.007328563085736996
IFNG	0.14281809791357986
IL2	0.11702607288041886
NFKBID	0.2134759747479535
LOC709619	-0.009648457854489537
LOC708874	-0.0069997715908951715
LOC709273	-0.002284901695372018
MT1E	-0.06716545760535816
MT1M	-0.07438595711333121
CRTAM	0.18459721277339525
CGA	-0.009243298918941361
TNF	0.11497874397925824
DUSP2	0.15279099828170029
MIR155HG	0.15862912025059955
NR4A1	0.1483433911015962
EGR1	0.07046441091667388
RRAD	0.11309010069443057
LOC109910387	0.004608772589257855
IFIT2	-0.016042644844787637
NR4A3	0.12879491541289756
LOC106992460	0.010349971531820688
CD74	-0.006414381686880809
MAMU-DRA	-0.005529608521480719
IL21	0.033059841827832774
TNFSF9	0.16492716192412948
FOS	-0.020026128681446084
ISG15	-0.00237055512728449
PLEK	0.1508009959885966
JUN	-0.009453089586145332
IER3	0.13323336092135918
HMOX1	0.0438107796282553
LOC106997706	-0.0035530157201302927
GZMB	0.08349780024467116
FOSB	0.024434584045135502
CHAC1	0.08925712105391914
MT2A	-0.09240745799544206
LOC709712	-0.002778460162923801
EGR3	0.11896740819651076
LOC709451	-0.0010712271295086164
CD69	0.048511446811242656
RGCC	0.08775449163665998
CRIP1	-0.06184695528987681
PIM3	0.14528127936926274
ID3	0.012730462472039395
LOC106992433	-0.018975373024343857
CD160	0.10334996865661666
GADD45B	0.09673931433095437
NR4A2	0.06004192047834344
TNFRSF9	0.16155244791134749
RASD1	0.020455778853301444
CD83	0.0867082203640896
KLF10	0.12272042287869617
HIST1H1D	-0.022915180631907107
LMNA	-0.021353471948294685
SPINK2	-0.01977144622663221
JUNB	0.01696565116616352
ZFP36L1	0.09831680493890871
BCL2A1	0.1298006868155155
SDC4	0.12833121211899176
CD7	-0.011789879861717154
SLAMF1	0.10144410828422926
LOC714576	-0.027137644834578634
KDM6B	0.10341054164511997
MAMU-DRB1	-3.056426937464631e-4
RGS16	0.013562856163131963
TNFSF14	0.13383463470643905
MAMU-DQA1	0.019486371859205497
HIVEP3	0.09850747197797029
IL4	0.015854160508963662
EGR2	0.15285341716695997
CENPF	0.06284176044068267
GZMK	-0.017779248771876983
SLC2A3	0.05375582340708914
IFI27	5.94372528592649e-4
SQSTM1	-0.006849733520170452
LOC114674534	0.008640340583136119
HBB	0.0048631826578154295
SPOCK2	-0.0323360233175082
LOC702286	-0.0015118506775823907
SLC29A1	0.11589019318775133
COL5A3	0.04733272799197699
MYC	0.10927708878850065
LOC701976	-0.008872120378278406
REL	0.1152763180136053
BTG2	0.010227349176361547
HSPA5	0.06274024750517504
