feature	weight
CD7	-0.130132539885501
CA6	-0.101734488428905
LTB	-0.101497617025973
SELL	-0.0956423952992196
CCR7	-0.0801722404700099
PECAM1	-0.0759562977946552
FUOM	-0.0741727032725378
JUNB	-0.0728194634880174
LEF1	-0.0724104802613937
GSTT1	-0.0719792480234934
TMIGD2	-0.0716351414023857
CTSH	-0.0636809320173194
RGS10	-0.0631501107786434
PLAC8	-0.0613829930463867
LOC100425937	-0.0529055629164025
RCAN3	-0.0511219025616197
ITGA6	-0.0488191423022429
KLF2	-0.0487228541316268
JUN	-0.0449497362909219
SOCS3	-0.0438974717171746
SPOCK2	-0.0437442300949749
NME2	-0.0431272562342748
IL6ST	-0.0423970081519909
STAT1	-0.039134202888361
SATB1	-0.0386347496661143
RPIA	-0.0385510156408052
GYPC	-0.0334778405829371
ADD3	-0.0313398364556999
BTG2	-0.03097435014285
BTG1	-0.0308746903942566
TRIB2	-0.0307113648947275
LDHB	-0.0305685771603686
IL7R	-0.0279949111688047
EIF3G	-0.0270189014365815
LOC716637	-0.0219995667505869
IKZF1	-0.0206632777829337
LOC114672189	-0.0204563777070574
GPRIN3	-0.0170137583242281
SOX4	-0.0157327942290105
MX1	-0.0156068687258288
PLAAT4	-0.0139635982963107
ABTB1	-0.0139165817158863
PTGER4	-0.0133957218777339
CTSL	-0.0117890269420134
PPP1CC	-0.0115696143592337
PABPC1	-0.0111142257637597
USP36	-0.00960494742432808
GPR183	-0.00546405250296623
NR4A2	-0.004529307159015
ICOS	-0.0035001287473638
LOC714576	-0.00191701877759369
NDUFV2	-0.00085965987100982
CD4	-0.000716817185046189
CREM	0.000568602244746645
ID3	0.00188786429555154
ENO1	0.00367623708539127
IFI6	0.00468269470167111
CAPG	0.00551925058528
LOC114673210	0.00940577262596679
SLIRP	0.0139597439688077
FGFR1OP2	0.0153226573075857
ARID5B	0.0166992922025027
PVRIG	0.0169877007193156
ENO2	0.0172186581464775
CXCR4	0.01749159687656
GLRX	0.0183085285251553
CD8B	0.0189689637598226
EGLN3	0.0195644426523746
SYNE2	0.0196808278083594
TMA7	0.020707095059745
COA1	0.0211982248064708
BICDL1	0.0221690417023735
ATP5F1E	0.0228262409832933
NDUFB1	0.027172439455641
LDHA	0.0278140575863914
LOC100427851	0.0295001160209898
CLDND1	0.0307769122221105
LOC716034	0.0334968126240208
CTSW	0.0339663053924986
TNFAIP3	0.034956708216893
CMC1	0.0365379420977471
ITGB1	0.0367331637707835
IKZF2	0.037946773782637
RESF1	0.0384757005891124
LOC114677140	0.0393951204042823
ANKRD12	0.0404163304771302
HERC1	0.0423611740896149
SERPINA1	0.0431633490291676
PITPNC1	0.0440357706349853
RASGRP1	0.0452972990818462
RHOF	0.045871139640252
LOC694887	0.0465475254547404
SKAP1	0.047096184243299
SLC4A7	0.0478439479807322
TC2N	0.0479299793521909
SH3KBP1	0.048526415028694
CD8A	0.0511949771724608
ALDOA	0.0516225785657347
PKM	0.0523672959990514
ARAP2	0.054982102783274
NKG7	0.181761830944504
CCL5	0.181395019603317
CST7	0.180859513270171
GZMB	0.171562147431984
GNLY	0.169816021538893
HOPX	0.15107831094276
CCL4L1	0.147088576854784
GZMH	0.145942533136181
S100A4	0.144876421887173
S100A10	0.142923245925488
AHNAK	0.140401445493959
S100A11	0.132481628951025
RGS9	0.130412265541897
APOBEC3C	0.118926118116665
LOC705095	0.118300369297045
CD52	0.117724865251855
ANXA1	0.116915021541882
KLRD1	0.115343785747182
TESC	0.113863332471741
PRF1	0.113416578586866
TNFRSF1B	0.110623948422555
CRIP1	0.108646599858801
RHOC	0.107334737606203
GZMA	0.106644966398703
LOC100426632	0.106557607665391
SRGN	0.105709393760342
ZEB2	0.104797202103908
TGFBR3	0.104613257016506
LOC100430627	0.104032993888602
GZMM	0.101149362706307
APOBEC3H	0.0997345705085563
DHRS7	0.0972599887924773
SH3BP5	0.096358644862924
KLRB1	0.0949774769474911
AIM2	0.0935688528619666
LCP1	0.0933728561240893
ITGB2	0.0931114797373758
GZMK	0.0928793018272012
PRSS57	0.0919701079031127
CD44	0.0912624386616802
KLRC2	0.0907962666127997
LY6E-1	0.0886539141512733
GAPDH	0.0883174107176478
PTPN22	0.0875675086077972
SLA2	0.0866095313965237
CD99	0.0864124010870658
CCDC69	0.0863980340700789
NKG2D	0.0843095885725934
GPR141	0.0838651702763584
BST2	0.0836779306549234
ZBTB38	0.0830043629908957
FLNA	0.0825863898004231
MAMU-DPB	0.0823519861748275
PPP1R12A	0.078924747156577
KLF6	0.0785504281460991
ITGAL	0.0779645153039274
CD74	0.0773249087557951
CX3CR1	0.076997370388693
EML4	0.0767287518791595
IL2RB	0.0767021881818581
LOC106993196	0.0725428763955511
EZR	0.0714957356789715
CPD	0.070582894233132
PRKCH	0.070425968400993
TYROBP	0.0656841068887165
VIM	0.0656290053119115
SEMA4D	0.0647219523986251
LOC711031	0.0632653238369819
ATP2B4	0.062931426881727
SYNE1	0.0621982954821586
S100A6	0.0617066993506945
CLEC2D	0.0604694222998336
ITGA4	0.059413979819789
TPI1	0.0576982202036486
SYTL3	0.0569023301259713
