feature	weight
CD7	-0.130751132932713
LTB	-0.103908911031234
CA6	-0.100715429174635
SELL	-0.094120792183544
LOC702677	-0.0869465461274148
CCR7	-0.0818810086752158
FUOM	-0.0814054307343769
PECAM1	-0.0751966471067768
TMIGD2	-0.0727960063060803
JUNB	-0.0726534051251484
LEF1	-0.0726437820778495
GSTT1	-0.0719942832272809
RGS10	-0.0671073980004606
LOC100425937	-0.066119143372126
PLAC8	-0.0637884876524584
CTSH	-0.0629977087217511
LOC698130	-0.062582989483385
RPL34	-0.0625815340896184
LOC702174	-0.0617794873876941
FOS	-0.0592578194083368
RPL22L1	-0.054548921410717
TCF7	-0.0534077643773455
MRPS6	-0.0518758812783016
KLF2	-0.0518353763111398
SPOCK2	-0.0495051837864692
LOC114678374	-0.035743020031252
IL7R	-0.0328137900283881
PGK1	-0.0287453043617583
LOC114679035	-0.0142303940404917
LOC702760	-0.011432914967393
GPR183	-0.0108853780927168
ROMO1	-0.0107712486747757
TMA7	-0.00305830109191315
SLIRP	-0.00168791759073668
LOC114676051	0.00664169942520061
NDUFB1	0.0111777114424327
CD8B	0.0146351311226458
IFI6	0.0151205814585866
CMC1	0.0219537759149767
CLDND1	0.0259644813139081
LOC720456	0.0334447601294701
SKAP1	0.0453718067592495
VIM	0.0471768597315217
ANKRD12	0.0474655782819441
SH3KBP1	0.0479466386978398
SYTL3	0.0526800106705231
CD8A	0.0528322756902017
SCML4	0.0565762690875009
LOC711031	0.0602149650734912
TXNIP	0.0604100085707513
FNBP1	0.0613512009411187
AKAP13	0.0616145644289408
ACTR3	0.0625958730455622
CD2	0.0653195190965919
IL2RG	0.065424235591182
CTSA	0.0654955474323837
TMEM50A	0.065565213246802
EZR	0.0663055533626128
LOC114676933	0.0692956674602339
GLIPR2	0.0697259239955605
LOC714964	0.0704180343803591
SERPINB9	0.0713544780378127
CCDC69	0.0719768256022425
IQGAP1	0.0720864646870475
MYH9	0.073260667454474
CD84	0.073387459593594
RNF149	0.0738153851245441
CD3G	0.07427387600128
PRKCH	0.0743949679341582
LOC701976	0.0757284041955317
SYNE1	0.0765782138613897
IL2RB	0.07729353856459
MYO1G	0.0785336380269618
BHLHE40	0.0792571042719672
LOC707555	0.0800759569048765
SLA2	0.0801440143197808
MAMU-DPB	0.0804678423625699
ATP2B4	0.0807715882929429
DNAJC1	0.0815275846873154
CRIP1	0.0817428110692455
LOC106993196	0.0820364234284384
PPP1R12A	0.0821144190755354
EML4	0.082535320357602
SEMA4D	0.0825803973519191
CD74	0.0831878317552631
ITGAL	0.0832650653901042
KLRC2	0.083494098472582
CD99	0.0835312764224974
CPD	0.0835390701551863
LOC114675357	0.0841955156023667
ITGA4	0.084319062008212
BST2	0.0845363715014563
FLNA	0.0845610552255476
AIM2	0.0847109430814758
LY6E-1	0.0858268904106676
KLF6	0.0869881409254763
ZBTB38	0.087220646635497
GZMK	0.0896191736745185
GZMM	0.0899781215727831
NKG2D	0.0902018476085034
DHRS7	0.0902316385242771
HCST	0.0911725941669648
SH3BP5	0.0913150779447199
PTPN22	0.0944727137554385
CD44	0.0950348191068611
TIGIT	0.095115705100456
LOC100430627	0.0954142056736256
SLAMF7	0.0957224941821695
LCP1	0.0959574372886688
APOBEC3H	0.0977707872590616
TESC	0.097996286565716
S100A11	0.099555654468933
SRGN	0.0998769774118031
LOC100426632	0.0999266476093113
ITGB2	0.100499787622369
ANXA1	0.103310766922102
APOBEC3C	0.103546643579917
TNFRSF1B	0.103744443659713
KLRD1	0.104458055242862
S100A10	0.106843740014639
LOC705095	0.107452781817393
ZEB2	0.108162810018182
GZMA	0.109495956735728
TGFBR3	0.109628417118455
CD52	0.11303458759852
PRF1	0.120022905998749
S100A4	0.121043948007874
RGS9	0.123938768171824
HOPX	0.126410914881463
CCL4L1	0.138074014166287
AHNAK	0.142976477781409
GZMH	0.145581687267575
GNLY	0.161374656653
CST7	0.169941420874823
GZMB	0.174181102533305
CCL5	0.180302431081837
NKG7	0.180485316397889
