name	signature
Immune	PTPRC
Lymphoid	LCK
Myeloid	SPI1
Tcell	CD3D;CD3E;CD3G;CD2
Macrophage	CD40;CD68;CD14;FCGR1A
MoMacDC	LYZ;CSF1R;MSR1;MAFB;CD300E
Epithelial	CDH1;FLT1
Stromal	MMP2;COL1A1;COL1A2;COL5A1;LUM;PDGFRA
Bcell	MS4A1;BANK1;PAX5;CD19
Plasma_cell	IGKC;IGHG3;IGHG1;IGHA1;CD19-
PanBcell	CD79A
NK	KLRD1;NKG7;NCR1;FCGR3A;CD3D-;CD3E-;CD3G-;CD8A-;CD8B-
Neutrophils	CSF3R;FCGR3B
CD4T	CD4;CD40LG
Treg	FOXP3
CD8T	CD8A;CD8B
Tgammadelta	TRDC;TRGC1;TRGC2;TRDV1
Talphabeta	TRAC;TRBC1;TRBC2
pDC	CCR9;LILRA4
Erythrocyte	HBB;HBA2;HBA1
Platelet_MK	PPBP;ITGB3
Erythrocyte.RM	HBA1;HBB;HBA
Myeloid.RM	LGALS3;LYZ;STAC3;CD68;CSF3R;SPI1;VCAN;MNDA;C1QA;C1QB;C1QC
Epithelial.RM	FLT1;WFDC1;EMP2;RNASE1;RAMP3
Stromal.RM	MMP2;COL1A1;COL1A2;LUM;PDGFRA
Bcell.RM	MS4A1;BANK1;PAX5;CD19;CD79A;CD79B
NK.RM	KLRD1;NKG7;GNLY;KLRB1;CD3D-;CD3E-;CD3G-;CD8B-;LOC710951-;LOC114677140-;LOC711031-;LOC720538-;LOC705095-
pDC.RM	LILRA4
AvEp.RM	SCGB1A1;SCGB3A2;SCGB3A1;SFTPC;SFTPB;SFTPA1
ActiveAvEp.RM	SCGB1A1;SCGB3A2;SCGB3A1;SFTPC;SFTPB;SFTPA1;CCL18;IL1B
Tcell.RM	CD3D;CD3E;CD3G;CD2
Platelet.RM	PPBP;LOC703451
Mesothelial.RM	ITLN1;PRG4;MSLN
Myelocytes.RM	OLFM4;LTF;CAMP;LCN2
Myofibroblast.RM	CCL21;MMRN1;MYOC
Fibroblast.RM	FCN2;FCN3;STAB2;COL1A1;FBLN1
Hepatocyte.RM	ADH1B;ALB;TTR
